user_id,username,first_name,last_name,phone,last_seen
8329587947,Crime_scene66,𓄂𝆺𝅥⃝🔥꯭ ‌⃪‌ ᷟ𝆺꯭𝅥༎꯭꯭꯭ࠫ ❛ ꯭͕͢͢͢𝐈ɴɴɵɔɛɴ𝞃 ❜꯭ ❱𝗖꯭𝗿꯭𝗶𝗺𝗶η𝗮꯭᪼ 𝗟꯭❰,,,Recently
8318219702,RiyamusicXBot,Sexmex/punjabi viral videos,,,Hidden or long ago
6102325677,SaumyaMusicBot,˹ѕᴀυмʏᴀ ꭙ мυѕιᴄ˼ ♪,,,Hidden or long ago
7974760452,Silent_share_bot,Silent file share,,,Hidden or long ago
8493095516,Noh_more,𝄟≛⃝🕊🇾𝐀𝐒𝐔𝐔 🇰𝐇𝐀𝐍𝄟≛⃝🕊️,,,Recently
7750958771,lll_star_boy_lll,⋆─፝─᪵།‌꯭ᶦ―ᷟ⃞᪵ ⃝⃪⃜𝐈🇸𝐓𝐀𝐑 ͟͟͞͞➳🦋⃟𝐁𝐎𝐘𖣔ꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋꠋ꯭✥꯭⃝⃨⃜⃛⧗꯭,,,2025-10-20 16:26:52
7293562946,Yasoom1137,•⏤⵿⵿꯭꤫꤫︭⛦⃕͜𝄟͢•๋♥️꯭⃝⃨⃜ 🇸ɪʟᴇɴᴛ 🇰ɪʟʟᴇʀ,,,2025-10-20 16:23:11
6216394886,ABDUL_EDITOR,֟፝ㅤᴹᴿܔUηкηoωη么 𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭𑲭 ֟፝,,,Online now
8255393300,,,,,Hidden or long ago
6679174347,BRANDED_KUDI_BOT,˹ʙʀᴀɴᴅᴇᴅ ꭙ ᴍᴜsɪᴄ˼𓆩𔘓⃭𓆪,,,Hidden or long ago
7954762405,ll_l_sukoon_ll,⋆⎯፝֟፝֟⎯⎯꯭‌𓆩꯭〭〬𝑲𝒊𝒏𝒈➺𝒐𝒇𝆺𝅥𝅃꯭𝑫𝒆𝒗𝒊𝒍⋆˚🖤 °⎯꯭‌↠𓂍,,,Online now
7101545369,Smile_Queen007,🖤,,,Recently
6768538607,,Aiza___khan,,,2025-10-20 16:22:59
1180078433,GHClone4Bot,Group Help,,,Hidden or long ago
6218609538,,༺ 𒆜Tᴬˢᴸᴵᴹ Tᴷ💎ღ,,,2025-10-20 16:29:01
6753033991,AK_ARMAN_7,🌦⃝⃪꯭⃕⃔🦋🇦𝐑𝐌𝐀𝐍 🇰𝐇𝐀𝐍🌦⃝⃪꯭⃕⃔🦋,,,2025-10-20 16:25:17
6796533186,,Irru.... 🦋,,,Recently
8490783153,Shri_Krishna_00,ᯓ⸙𝚱᰻⃪⃪⃐᱂𝚰𝛅𝚮𝚴𝚨֟፝ؖ 🦚𝁜ͯ ͩ𝆯,,,2025-10-20 16:27:23
8242407935,,𝚮 𝚲 𝚭 𝚬 𝐋,,,Recently
8391241512,dolll5566,Queen 👑,,,Recently
7591066534,II_ARMAANKING_II,𝚲𝐥𝛐𝛈𝛆ᚚ𝛎𝛊𝐛𝛆𝛅 ⃝❤️‍🩹,,,2025-10-20 08:35:52
8287790608,,🦋,,,Recently
6394906479,UserTagger2Bot,User Tagger,,,Hidden or long ago
6802346442,,𝗧𝗔𝗡𝗨💙❤️,,,Recently
6972762113,NudesRemoverBot,Nudes Remover Bot,,,Hidden or long ago
609517172,MissRose_bot,Rose,,,Hidden or long ago
6048219138,lovethor010,彡[ɪ'ᴍ ɢᴏᴋᴜ]彡,,,Recently
